Sort,Planted,index,NIR_plate,experiment code,note1,Culture Number,Genotype,Isolate,NIR_plate_kernels,kernels,Positions,indexed,Seed treatment 1,Seed treatment 2,Date planted,Time watered,Base Soil Type,Honeycomb media,Rack,camera,Tray Position,Emergence Temperature,Date Transfer to emergence temperature,Time Transfer to 24C,Date time,initial picture date,initial picture time,Date Time,image capture interval (min),images captured,Time Between Transfer and first Picture (hrs),iplant directory,Colaborator,Handscored,HandScore_Location,ForImageProcessing,ForImageProcessing_Note,
1,yes,20160608_tray2,,NAM parents,,15A-6194,B97,B97,NA,42,A01:G06,no,10C ,primed; microcell,20170608,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170608,10:30,6/8/2017 10:30,6/14/2017,15:17:00,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera2,NA,no,,no,NA,
2,yes,20160608_tray2,,NAM parents,,15A-6194,B97,B97,NA,42,A07:G12,no,10C ,non-primed,20170608,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,proximal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera2,NA,no,,no,NA,
3,yes,20160608_tray1,,NAM parents,,15A-6196,B73,B73,NA,42,A01:G06,no,10C ,primed; microcell,20170608,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera2,NA,no,,no,NA,
4,yes,20160608_tray1,,NAM parents,,15A-6196,B73,B73,NA,42,A07:G12,no,10C ,non-primed,20170608,9:50,SunGro MM 930 Rsi,Playground Sand,1,2,distal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera2,NA,no,,no,NA,
5,yes,20160608_tray4,,NAM parents,,15A-6208,CML069,CML069,NA,42,A01:G06,no,10C ,primed; microcell,20170608,10:20,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera4,NA,no,,no,NA,
6,yes,20160608_tray4,,NAM parents,,15A-6208,CML069,CML069,NA,42,A07:G12,no,10C ,non-primed,20170608,10:20,SunGro MM 930 Rsi,Playground Sand,1,4,proximal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera4,NA,no,,no,NA,
7,yes,20160608_tray3,,NAM parents,,15A-6214,CML052,CML052,NA,42,A01:G06,no,10C ,primed; microcell,20170608,10:20,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera4,NA,no,,no,NA,
8,yes,20160608_tray3,,NAM parents,,15A-6214,CML052,CML052,NA,42,A07:G12,no,10C ,non-primed,20170608,10:20,SunGro MM 930 Rsi,Playground Sand,1,4,distal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera4,NA,no,,no,NA,
9,yes,20160608_tray6,,NAM parents,,15A-6205,CML228,CML228,NA,42,A01:G06,no,10C ,primed; microcell,20170608,10:50,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera6,NA,no,,no,NA,
10,yes,20160608_tray6,,NAM parents,,15A-6205,CML228,CML228,NA,42,A07:G12,no,10C ,non-primed,20170608,10:50,SunGro MM 930 Rsi,Playground Sand,1,6,proximal,24,20170608,10:30,6/8/2017 10:30,20170614,15:17,6/14/2017 15:17,30,350,148.78,/iplant/home/jgustin/20160614_Camera6,NA,no,,no,NA,
