PlotID,Sample,Stomata_number,Stomata_density,Flag_for_removal,Name2,new1,new2,new3
16EF0001,16EF0001_1_1,57,89.0625,,PI276801,96.0787,96.0787,96.0787
16EF0001,16EF0001_1_2,54,84.375,,PI276801,102.7701,102.7701,102.7701
16EF0001,16EF0001_1_3,59,92.1875,,PI276801,97.7868,97.7868,97.7868
16EF0001,16EF0001_1_4,67,104.6875,,PI276801,105.7528,105.7528,105.7528
16EF0001,16EF0001_2_1,67,104.6875,,PI276801,108.4943,108.4943,108.4943
16EF0001,16EF0001_2_2,65,101.5625,,PI276801,111.7685,111.7685,111.7685
16EF0001,16EF0001_2_3,57,89.0625,,PI276801,114.2004,114.2004,114.2004
16EF0001,16EF0001_2_4,69,107.8125,,PI276801,105.214,105.214,105.214
16EF0002,16EF0002_1_1,66,103.125,,PI329965,70.6199,70.6199,70.6199
16EF0002,16EF0002_1_2,64,100,,PI329965,70.3033,70.3033,70.3033
16EF0002,16EF0002_1_3,73,114.0625,,PI329965,72.6015,72.6015,72.6015
16EF0002,16EF0002_1_4,60,93.75,,PI329965,70.625,70.625,70.625
16EF0002,16EF0002_2_1,69,107.8125,,PI329965,67.5297,67.5297,67.5297
16EF0002,16EF0002_2_2,66,103.125,,PI329965,70.3384,70.3384,70.3384
16EF0002,16EF0002_2_3,68,106.25,,PI329965,72.0121,72.0121,72.0121
16EF0002,16EF0002_2_4,64,100,,PI329965,70.3482,70.3482,70.3482
16EF0003,16EF0003_1_1,70,109.375,,PI524689,73.2028,73.2028,73.2028
16EF0003,16EF0003_1_2,57,89.0625,,PI524689,71.8282,71.8282,71.8282
16EF0003,16EF0003_1_3,66,103.125,,PI524689,75.7499,75.7499,75.7499
16EF0003,16EF0003_1_4,58,90.625,,PI524689,81.241,81.241,81.241
16EF0003,16EF0003_2_1,48,75,,PI524689,85.3262,85.3262,85.3262
16EF0003,16EF0003_2_2,49,76.5625,,PI524689,90.8986,90.8986,90.8986
16EF0003,16EF0003_2_3,61,95.3125,,PI524689,87.7346,87.7346,87.7346
